question,approach,network,run,warmup,total_ms,db_ms,network_ms,json_ms,rows,payload_bytes
monthly-revenue,postgres-star,direct,1,true,6208.646,6192.846,15.800,0.000,37,
monthly-revenue,postgres-star,direct,1,false,6048.098,6047.671,0.427,0.000,37,
monthly-revenue,postgres-star,direct,2,false,6043.673,6043.396,0.278,0.000,37,
monthly-revenue,postgres-star,direct,3,false,6059.702,6059.504,0.198,0.000,37,
monthly-revenue,postgres-star,direct,4,false,6059.867,6059.707,0.160,0.000,37,
monthly-revenue,postgres-star,direct,5,false,6064.780,6064.600,0.181,0.000,37,
monthly-revenue,duckdb-star,direct,1,true,316.501,290.361,18.882,5.856,37,1739
monthly-revenue,duckdb-star,direct,1,false,271.695,269.890,1.381,0.367,37,1739
monthly-revenue,duckdb-star,direct,2,false,273.916,271.849,1.784,0.226,37,1740
monthly-revenue,duckdb-star,direct,3,false,272.084,270.628,1.270,0.133,37,1739
monthly-revenue,duckdb-star,direct,4,false,264.546,262.898,1.433,0.147,37,1739
monthly-revenue,duckdb-star,direct,5,false,271.851,270.391,1.252,0.152,37,1740
sales-hierarchy,postgres-star,direct,1,true,1133.552,1131.584,1.968,0.000,17,
sales-hierarchy,postgres-star,direct,1,false,920.650,920.485,0.165,0.000,17,
sales-hierarchy,postgres-star,direct,2,false,832.849,832.654,0.195,0.000,17,
sales-hierarchy,postgres-star,direct,3,false,832.635,832.457,0.177,0.000,17,
sales-hierarchy,postgres-star,direct,4,false,833.302,833.106,0.196,0.000,17,
sales-hierarchy,postgres-star,direct,5,false,820.718,820.583,0.135,0.000,17,
sales-hierarchy,duckdb-star,direct,1,true,148.691,147.260,1.234,0.147,17,2101
sales-hierarchy,duckdb-star,direct,1,false,166.459,165.011,1.246,0.154,17,2101
sales-hierarchy,duckdb-star,direct,2,false,148.517,147.068,1.237,0.149,17,2101
sales-hierarchy,duckdb-star,direct,3,false,145.314,143.691,1.378,0.160,17,2101
sales-hierarchy,duckdb-star,direct,4,false,141.200,139.713,1.270,0.126,17,2101
sales-hierarchy,duckdb-star,direct,5,false,153.003,151.564,1.269,0.134,17,2101
unusual-days,postgres-star,direct,1,true,188.675,188.520,0.156,0.000,21,
unusual-days,postgres-star,direct,1,false,190.442,190.316,0.126,0.000,21,
unusual-days,postgres-star,direct,2,false,189.012,188.865,0.147,0.000,21,
unusual-days,postgres-star,direct,3,false,191.904,191.770,0.134,0.000,21,
unusual-days,postgres-star,direct,4,false,190.794,190.682,0.113,0.000,21,
unusual-days,postgres-star,direct,5,false,186.731,186.611,0.119,0.000,21,
unusual-days,duckdb-star,direct,1,true,8.423,7.169,1.103,0.122,21,1534
unusual-days,duckdb-star,direct,1,false,7.866,6.661,1.032,0.145,21,1534
unusual-days,duckdb-star,direct,2,false,10.304,8.842,1.277,0.148,21,1534
unusual-days,duckdb-star,direct,3,false,8.092,6.854,1.088,0.115,21,1534
unusual-days,duckdb-star,direct,4,false,8.066,6.954,0.982,0.101,21,1534
unusual-days,duckdb-star,direct,5,false,7.671,6.431,1.096,0.122,21,1533
detail-extract,postgres-star,direct,1,true,145.299,59.133,86.166,0.000,42581,
detail-extract,postgres-star,direct,1,false,100.372,60.856,39.517,0.000,42581,
detail-extract,postgres-star,direct,2,false,109.636,65.439,44.197,0.000,42581,
detail-extract,postgres-star,direct,3,false,99.973,57.693,42.280,0.000,42581,
detail-extract,postgres-star,direct,4,false,98.903,57.494,41.409,0.000,42581,
detail-extract,postgres-star,direct,5,false,97.687,57.971,39.716,0.000,42581,
detail-extract,duckdb-star,direct,1,true,253.866,52.684,8.814,191.129,42581,4209560
detail-extract,duckdb-star,direct,1,false,211.148,63.770,4.476,141.500,42581,4209560
detail-extract,duckdb-star,direct,2,false,178.776,61.030,4.858,111.698,42581,4209549
detail-extract,duckdb-star,direct,3,false,196.788,69.891,4.444,121.973,42581,4209549
detail-extract,duckdb-star,direct,4,false,175.599,58.145,4.610,111.700,42581,4209549
detail-extract,duckdb-star,direct,5,false,152.214,36.764,4.571,109.590,42581,4209560
customer-orders,postgres-star,direct,1,true,10.167,10.088,0.079,0.000,9,
customer-orders,postgres-star,direct,1,false,0.341,0.250,0.091,0.000,9,
customer-orders,postgres-star,direct,2,false,0.323,0.234,0.089,0.000,9,
customer-orders,postgres-star,direct,3,false,0.289,0.209,0.080,0.000,9,
customer-orders,postgres-star,direct,4,false,0.291,0.187,0.104,0.000,9,
customer-orders,postgres-star,direct,5,false,0.279,0.209,0.070,0.000,9,
customer-orders,duckdb-star,direct,1,true,6.173,5.061,1.000,0.092,9,854
customer-orders,duckdb-star,direct,1,false,5.356,4.251,0.994,0.091,9,856
customer-orders,duckdb-star,direct,2,false,4.034,3.039,0.891,0.084,9,856
customer-orders,duckdb-star,direct,3,false,4.341,3.232,0.914,0.128,9,855
customer-orders,duckdb-star,direct,4,false,6.452,5.426,0.904,0.090,9,855
customer-orders,duckdb-star,direct,5,false,4.911,3.463,1.293,0.125,9,856
monthly-revenue,postgres-star,0,1,true,6075.767,6075.334,0.432,0.000,37,
monthly-revenue,postgres-star,0,1,false,5943.448,5943.255,0.193,0.000,37,
monthly-revenue,postgres-star,0,2,false,5822.035,5821.897,0.138,0.000,37,
monthly-revenue,postgres-star,0,3,false,5892.242,5892.065,0.177,0.000,37,
monthly-revenue,postgres-star,0,4,false,6044.105,6043.950,0.155,0.000,37,
monthly-revenue,postgres-star,0,5,false,5907.426,5907.290,0.137,0.000,37,
monthly-revenue,duckdb-star,0,1,true,289.940,287.568,2.208,0.136,37,1740
monthly-revenue,duckdb-star,0,1,false,264.462,262.405,1.904,0.116,37,1740
monthly-revenue,duckdb-star,0,2,false,280.288,279.003,1.141,0.129,37,1739
monthly-revenue,duckdb-star,0,3,false,297.641,296.245,1.224,0.156,37,1739
monthly-revenue,duckdb-star,0,4,false,265.178,263.971,1.074,0.115,37,1740
monthly-revenue,duckdb-star,0,5,false,279.793,278.549,1.119,0.106,37,1739
sales-hierarchy,postgres-star,0,1,true,843.845,843.612,0.233,0.000,17,
sales-hierarchy,postgres-star,0,1,false,821.225,821.059,0.166,0.000,17,
sales-hierarchy,postgres-star,0,2,false,840.995,840.838,0.157,0.000,17,
sales-hierarchy,postgres-star,0,3,false,833.161,832.997,0.164,0.000,17,
sales-hierarchy,postgres-star,0,4,false,826.719,826.550,0.169,0.000,17,
sales-hierarchy,postgres-star,0,5,false,835.218,835.076,0.142,0.000,17,
sales-hierarchy,duckdb-star,0,1,true,142.786,141.476,1.189,0.102,17,2101
sales-hierarchy,duckdb-star,0,1,false,149.884,148.160,1.572,0.135,17,2100
sales-hierarchy,duckdb-star,0,2,false,157.241,155.748,1.383,0.092,17,2101
sales-hierarchy,duckdb-star,0,3,false,147.883,146.636,1.134,0.094,17,2101
sales-hierarchy,duckdb-star,0,4,false,147.370,146.064,1.180,0.104,17,2100
sales-hierarchy,duckdb-star,0,5,false,145.425,144.167,1.147,0.092,17,2101
unusual-days,postgres-star,0,1,true,195.343,195.223,0.120,0.000,21,
unusual-days,postgres-star,0,1,false,186.356,186.219,0.138,0.000,21,
unusual-days,postgres-star,0,2,false,188.969,188.824,0.144,0.000,21,
