question,approach,network,run,warmup,total_ms,db_ms,network_ms,json_ms,rows,payload_bytes
monthly-revenue,postgres-store,direct,1,true,16015.083,16008.897,6.186,0.000,37,
monthly-revenue,postgres-store,direct,1,false,15382.738,15382.228,0.511,0.000,37,
monthly-revenue,postgres-store,direct,2,false,15238.810,15238.536,0.275,0.000,37,
monthly-revenue,postgres-store,direct,3,false,15237.684,15237.497,0.187,0.000,37,
monthly-revenue,postgres-store,direct,4,false,15692.495,15692.323,0.171,0.000,37,
monthly-revenue,postgres-store,direct,5,false,15323.003,15322.776,0.226,0.000,37,
category-rollup,postgres-store,direct,1,true,48239.553,48237.700,1.853,0.000,37,
category-rollup,postgres-store,direct,1,false,47192.689,47192.514,0.176,0.000,37,
category-rollup,postgres-store,direct,2,false,47225.381,47224.956,0.425,0.000,37,
category-rollup,postgres-store,direct,3,false,46522.149,46521.984,0.165,0.000,37,
category-rollup,postgres-store,direct,4,false,46825.713,46825.553,0.160,0.000,37,
category-rollup,postgres-store,direct,5,false,47002.105,47001.768,0.337,0.000,37,
active-customers,postgres-store,direct,1,true,3487.458,3487.294,0.164,0.000,37,
active-customers,postgres-store,direct,1,false,2867.529,2867.411,0.118,0.000,37,
active-customers,postgres-store,direct,2,false,3021.112,3020.990,0.122,0.000,37,
active-customers,postgres-store,direct,3,false,2880.681,2880.548,0.133,0.000,37,
active-customers,postgres-store,direct,4,false,2944.888,2944.792,0.096,0.000,37,
active-customers,postgres-store,direct,5,false,2843.604,2843.476,0.128,0.000,37,
cohort-retention,postgres-store,direct,1,true,17938.364,17902.073,36.291,0.000,403,
cohort-retention,postgres-store,direct,1,false,17809.545,17774.882,34.663,0.000,403,
cohort-retention,postgres-store,direct,2,false,17852.399,17815.953,36.446,0.000,403,
cohort-retention,postgres-store,direct,3,false,17968.736,17934.798,33.938,0.000,403,
cohort-retention,postgres-store,direct,4,false,17645.962,17612.257,33.705,0.000,403,
cohort-retention,postgres-store,direct,5,false,17714.121,17678.543,35.578,0.000,403,
rfm-segments,postgres-store,direct,1,true,12818.105,12817.860,0.246,0.000,6,
rfm-segments,postgres-store,direct,1,false,12678.339,12678.056,0.284,0.000,6,
rfm-segments,postgres-store,direct,2,false,12608.525,12608.236,0.289,0.000,6,
rfm-segments,postgres-store,direct,3,false,12493.472,12493.383,0.088,0.000,6,
rfm-segments,postgres-store,direct,4,false,12738.966,12738.880,0.086,0.000,6,
rfm-segments,postgres-store,direct,5,false,12526.293,12526.209,0.085,0.000,6,
top-products-per-department,postgres-store,direct,1,true,23146.149,23146.012,0.137,0.000,24,
top-products-per-department,postgres-store,direct,1,false,22742.092,22741.988,0.104,0.000,24,
top-products-per-department,postgres-store,direct,2,false,22841.628,22841.525,0.103,0.000,24,
top-products-per-department,postgres-store,direct,3,false,22886.071,22885.996,0.075,0.000,24,
top-products-per-department,postgres-store,direct,4,false,22723.864,22723.763,0.101,0.000,24,
top-products-per-department,postgres-store,direct,5,false,23184.346,23184.247,0.099,0.000,24,
basket-pairs,postgres-store,direct,1,true,11931.533,11931.443,0.090,0.000,20,
basket-pairs,postgres-store,direct,1,false,12059.624,12059.540,0.084,0.000,20,
basket-pairs,postgres-store,direct,2,false,11951.673,11951.581,0.092,0.000,20,
basket-pairs,postgres-store,direct,3,false,11914.224,11914.118,0.106,0.000,20,
basket-pairs,postgres-store,direct,4,false,11826.883,11826.794,0.090,0.000,20,
basket-pairs,postgres-store,direct,5,false,11828.880,11828.792,0.087,0.000,20,
brand-returns,postgres-store,direct,1,true,5210.559,5210.413,0.146,0.000,15,
brand-returns,postgres-store,direct,1,false,5193.641,5193.566,0.075,0.000,15,
brand-returns,postgres-store,direct,2,false,5161.699,5161.611,0.088,0.000,15,
brand-returns,postgres-store,direct,3,false,5172.734,5172.465,0.269,0.000,15,
brand-returns,postgres-store,direct,4,false,5115.463,5115.385,0.079,0.000,15,
brand-returns,postgres-store,direct,5,false,5165.552,5165.466,0.086,0.000,15,
delivery-percentiles,postgres-store,direct,1,true,12288.660,12288.586,0.074,0.000,15,
delivery-percentiles,postgres-store,direct,1,false,11672.363,11672.291,0.072,0.000,15,
delivery-percentiles,postgres-store,direct,2,false,11577.133,11577.063,0.070,0.000,15,
delivery-percentiles,postgres-store,direct,3,false,11632.895,11632.622,0.274,0.000,15,
delivery-percentiles,postgres-store,direct,4,false,11549.530,11549.152,0.377,0.000,15,
delivery-percentiles,postgres-store,direct,5,false,11604.914,11604.824,0.090,0.000,15,
sales-hierarchy,postgres-store,direct,1,true,2013.557,2013.466,0.092,0.000,17,
sales-hierarchy,postgres-store,direct,1,false,1908.175,1908.075,0.100,0.000,17,
sales-hierarchy,postgres-store,direct,2,false,1905.132,1905.031,0.100,0.000,17,
sales-hierarchy,postgres-store,direct,3,false,1909.626,1909.529,0.097,0.000,17,
sales-hierarchy,postgres-store,direct,4,false,1977.948,1977.836,0.112,0.000,17,
sales-hierarchy,postgres-store,direct,5,false,1950.540,1950.442,0.098,0.000,17,
unusual-days,postgres-store,direct,1,true,2559.361,2559.246,0.115,0.000,21,
unusual-days,postgres-store,direct,1,false,2547.691,2547.597,0.094,0.000,21,
unusual-days,postgres-store,direct,2,false,2510.548,2510.243,0.305,0.000,21,
unusual-days,postgres-store,direct,3,false,2532.978,2532.867,0.111,0.000,21,
unusual-days,postgres-store,direct,4,false,2569.061,2568.749,0.312,0.000,21,
unusual-days,postgres-store,direct,5,false,2585.894,2585.786,0.109,0.000,21,
yoy-growth,postgres-store,direct,1,true,28756.934,28756.793,0.141,0.000,96,
yoy-growth,postgres-store,direct,1,false,28505.717,28505.581,0.136,0.000,96,
yoy-growth,postgres-store,direct,2,false,28889.108,28888.956,0.153,0.000,96,
yoy-growth,postgres-store,direct,3,false,28742.788,28742.631,0.157,0.000,96,
yoy-growth,postgres-store,direct,4,false,28630.855,28630.724,0.131,0.000,96,
yoy-growth,postgres-store,direct,5,false,28558.503,28558.364,0.139,0.000,96,
clv-buckets,postgres-store,direct,1,true,10005.240,10005.158,0.083,0.000,7,
clv-buckets,postgres-store,direct,1,false,9610.436,9610.356,0.081,0.000,7,
clv-buckets,postgres-store,direct,2,false,9721.738,9721.655,0.083,0.000,7,
clv-buckets,postgres-store,direct,3,false,9740.782,9740.715,0.067,0.000,7,
clv-buckets,postgres-store,direct,4,false,9640.082,9640.003,0.079,0.000,7,
clv-buckets,postgres-store,direct,5,false,9685.572,9685.505,0.067,0.000,7,
detail-extract,postgres-store,direct,1,true,157.305,96.821,60.484,0.000,42581,
detail-extract,postgres-store,direct,1,false,133.382,94.636,38.745,0.000,42581,
detail-extract,postgres-store,direct,2,false,127.337,87.181,40.156,0.000,42581,
detail-extract,postgres-store,direct,3,false,131.073,89.459,41.614,0.000,42581,
detail-extract,postgres-store,direct,4,false,130.377,87.356,43.021,0.000,42581,
detail-extract,postgres-store,direct,5,false,133.781,86.997,46.784,0.000,42581,
customer-orders,postgres-store,direct,1,true,10.775,10.695,0.080,0.000,14,
customer-orders,postgres-store,direct,1,false,0.441,0.365,0.075,0.000,14,
customer-orders,postgres-store,direct,2,false,0.418,0.362,0.055,0.000,14,
customer-orders,postgres-store,direct,3,false,0.427,0.362,0.064,0.000,14,
customer-orders,postgres-store,direct,4,false,0.416,0.342,0.075,0.000,14,
customer-orders,postgres-store,direct,5,false,0.430,0.367,0.062,0.000,14,
