question,approach,network,run,warmup,total_ms,db_ms,network_ms,json_ms,rows,payload_bytes
monthly-revenue,postgres-store,direct,1,true,15306.591,15300.059,6.532,0.0,37,
monthly-revenue,postgres-store,direct,1,false,17221.014,17220.548,0.466,0.0,37,
monthly-revenue,postgres-store,direct,2,false,14996.94,14996.62,0.319,0.0,37,
monthly-revenue,postgres-store,direct,3,false,14869.466,14869.295,0.171,0.0,37,
monthly-revenue,postgres-store,direct,4,false,14998.446,14998.263,0.183,0.0,37,
monthly-revenue,postgres-store,direct,5,false,15029.759,15029.539,0.22,0.0,37,
monthly-revenue,duckdb-store,direct,1,true,3272.541,3238.158,22.618,9.776,37,2038
monthly-revenue,duckdb-store,direct,1,false,2385.863,2383.518,1.674,0.586,37,2038
monthly-revenue,duckdb-store,direct,2,false,2281.404,2279.507,1.52,0.312,37,2038
monthly-revenue,duckdb-store,direct,3,false,2299.163,2297.286,1.599,0.168,37,2038
monthly-revenue,duckdb-store,direct,4,false,2296.318,2294.694,1.397,0.175,37,2038
monthly-revenue,duckdb-store,direct,5,false,2299.487,2297.793,1.502,0.151,37,2040
category-rollup,postgres-store,direct,1,true,49219.045,49217.309,1.735,0.0,37,
category-rollup,postgres-store,direct,1,false,49427.031,49426.666,0.365,0.0,37,
category-rollup,postgres-store,direct,2,false,48684.0,48683.832,0.169,0.0,37,
category-rollup,postgres-store,direct,3,false,48187.525,48187.372,0.153,0.0,37,
category-rollup,postgres-store,direct,4,false,49158.048,49157.88,0.168,0.0,37,
category-rollup,postgres-store,direct,5,false,47776.184,47776.017,0.167,0.0,37,
category-rollup,duckdb-store,direct,1,true,11409.676,11406.452,2.604,0.557,37,2897
category-rollup,duckdb-store,direct,1,false,11950.582,11948.116,1.865,0.561,37,2896
category-rollup,duckdb-store,direct,2,false,11623.435,11620.785,2.384,0.219,37,2896
category-rollup,duckdb-store,direct,3,false,11499.672,11497.488,1.923,0.194,37,2897
category-rollup,duckdb-store,direct,4,false,11056.17,11053.233,2.391,0.502,37,2895
