scenario,operation,second,latency_ms,ok
none,product page,5.000,1.387,true
none,checkout,5.010,15.399,true
none,order history,5.020,1.206,true
none,product page,5.030,1.908,true
none,product page,5.040,1.478,true
none,product page,5.050,1.626,true
none,product page,5.060,2.512,true
none,product page,5.070,2.218,true
none,product page,5.080,2.478,true
none,order history,5.090,0.908,true
none,order history,5.100,0.340,true
none,checkout,5.110,14.155,true
none,order history,5.120,1.248,true
none,product page,5.130,1.248,true
none,order history,5.140,1.155,true
none,order history,5.150,1.347,true
none,checkout,5.160,14.132,true
none,product page,5.170,0.790,true
none,product page,5.180,0.944,true
none,product page,5.190,1.206,true
none,order history,5.200,0.792,true
none,order history,5.210,0.679,true
none,checkout,5.220,15.226,true
none,product page,5.230,1.582,true
none,product page,5.240,2.302,true
none,product page,5.250,1.239,true
none,product page,5.260,1.179,true
none,product page,5.270,0.844,true
none,order history,5.280,0.419,true
none,product page,5.290,0.700,true
none,product page,5.300,1.085,true
none,product page,5.310,1.047,true
none,checkout,5.320,15.814,true
none,product page,5.330,1.805,true
none,product page,5.340,2.055,true
none,product page,5.350,2.099,true
none,order history,5.360,1.101,true
none,product page,5.370,0.734,true
none,order history,5.380,0.950,true
none,product page,5.390,0.451,true
none,order history,5.400,0.997,true
none,order history,5.410,0.873,true
none,product page,5.420,1.050,true
none,product page,5.430,0.834,true
none,order history,5.440,1.279,true
none,checkout,5.450,17.978,true
none,checkout,5.460,17.658,true
none,order history,5.470,-0.335,true
none,product page,5.480,0.005,true
none,checkout,5.490,16.369,true
none,product page,5.500,1.464,true
none,order history,5.510,0.999,true
none,product page,5.520,1.146,true
none,product page,5.530,1.439,true
none,product page,5.540,3.336,true
none,product page,5.550,2.432,true
none,order history,5.560,2.060,true
none,product page,5.570,6.411,true
none,product page,5.580,2.496,true
none,product page,5.590,2.832,true
none,checkout,5.600,19.776,true
none,product page,5.610,2.865,true
none,product page,5.620,2.657,true
none,order history,5.630,1.685,true
none,order history,5.640,2.554,true
none,product page,5.650,3.037,true
none,product page,5.660,3.902,true
none,order history,5.670,1.862,true
none,order history,5.680,0.711,true
none,product page,5.690,2.110,true
none,product page,5.700,2.103,true
none,order history,5.710,2.381,true
none,product page,5.720,0.101,true
none,checkout,5.730,14.885,true
none,product page,5.740,0.839,true
none,product page,5.750,1.335,true
none,product page,5.760,1.219,true
none,product page,5.770,1.310,true
none,order history,5.780,1.200,true
none,order history,5.790,1.303,true
none,order history,5.800,0.846,true
none,product page,5.810,1.841,true
none,product page,5.820,1.052,true
none,order history,5.830,0.653,true
none,product page,5.840,1.394,true
none,product page,5.850,2.268,true
none,checkout,5.860,14.140,true
none,product page,5.870,1.332,true
none,order history,5.880,0.511,true
none,order history,5.890,1.258,true
none,product page,5.900,1.618,true
none,product page,5.910,2.166,true
none,order history,5.920,0.310,true
none,product page,5.930,0.318,true
none,product page,5.940,1.023,true
none,product page,5.950,1.610,true
none,product page,5.960,1.186,true
none,checkout,5.970,15.418,true
none,checkout,5.980,16.363,true
none,product page,5.990,2.058,true
none,product page,6.000,1.204,true
none,product page,6.010,0.528,true
none,order history,6.020,0.838,true
none,product page,6.030,0.924,true
none,order history,6.040,0.546,true
none,product page,6.050,0.894,true
none,product page,6.060,1.550,true
none,checkout,6.070,15.709,true
none,checkout,6.080,15.729,true
none,product page,6.090,1.395,true
none,product page,6.100,0.389,true
none,checkout,6.110,15.091,true
none,product page,6.120,0.823,true
none,product page,6.130,0.792,true
none,product page,6.140,1.115,true
none,product page,6.150,1.752,true
none,checkout,6.160,15.900,true
none,product page,6.170,2.087,true
none,order history,6.180,0.942,true
none,checkout,6.190,14.203,true
none,product page,6.200,0.182,true
none,product page,6.210,1.310,true
none,product page,6.220,0.773,true
none,product page,6.230,1.076,true
none,checkout,6.240,15.709,true
none,checkout,6.250,14.956,true
none,product page,6.260,1.639,true
none,product page,6.270,2.064,true
none,product page,6.280,1.906,true
none,checkout,6.290,13.114,true
none,checkout,6.300,15.390,true
none,product page,6.310,0.690,true
none,order history,6.320,0.139,true
none,product page,6.330,0.622,true
none,product page,6.340,1.668,true
none,product page,6.350,1.635,true
none,product page,6.360,1.752,true
none,order history,6.370,1.425,true
none,product page,6.380,0.611,true
none,product page,6.390,0.728,true
none,order history,6.400,0.939,true
none,checkout,6.410,12.952,true
none,checkout,6.420,16.741,true
none,checkout,6.430,15.937,true
none,product page,6.440,1.474,true
none,order history,6.450,1.011,true
none,order history,6.460,0.630,true
none,product page,6.470,2.730,true
none,product page,6.480,-0.364,true
none,order history,6.490,0.360,true
none,checkout,6.500,15.352,true
none,order history,6.510,1.085,true
none,product page,6.520,1.284,true
none,order history,6.530,1.026,true
none,product page,6.540,1.097,true
none,product page,6.550,2.753,true
none,order history,6.560,1.281,true
none,product page,6.570,0.729,true
none,product page,6.580,0.893,true
none,checkout,6.590,14.616,true
none,product page,6.600,1.468,true
none,order history,6.610,0.877,true
none,product page,6.620,1.390,true
none,product page,6.630,1.709,true
none,product page,6.640,2.135,true
none,checkout,6.650,16.696,true
none,product page,6.660,1.923,true
none,product page,6.670,1.250,true
none,product page,6.680,1.224,true
none,order history,6.690,1.564,true
