scenario,operation,second,latency_ms,ok
none,product page,5.000,1.384,true
none,checkout,5.010,10.039,true
none,product page,5.020,1.302,true
none,product page,5.030,0.322,true
none,product page,5.040,0.414,true
none,product page,5.050,0.411,true
none,product page,5.060,0.511,true
none,product page,5.070,0.884,true
none,product page,5.080,1.035,true
none,product page,5.090,2.252,true
none,product page,5.100,-0.185,true
none,product page,5.110,-0.949,true
none,product page,5.120,0.462,true
none,checkout,5.130,9.440,true
none,product page,5.140,1.471,true
none,product page,5.150,0.709,true
none,order history,5.160,0.576,true
none,product page,5.170,1.197,true
none,order history,5.180,-0.302,true
none,checkout,5.190,8.253,true
none,product page,5.200,1.013,true
none,product page,5.210,0.590,true
none,checkout,5.220,8.645,true
none,product page,5.230,0.686,true
none,product page,5.240,0.814,true
none,product page,5.250,1.712,true
none,product page,5.260,0.847,true
none,product page,5.270,0.584,true
none,product page,5.280,0.701,true
none,product page,5.290,-0.242,true
none,product page,5.300,1.454,true
none,order history,5.310,0.797,true
none,product page,5.320,3.914,true
none,product page,5.330,0.328,true
none,product page,5.340,0.618,true
none,checkout,5.350,9.252,true
none,product page,5.360,0.461,true
none,product page,5.370,0.950,true
none,product page,5.380,0.982,true
none,product page,5.390,1.021,true
none,product page,5.400,1.161,true
none,order history,5.410,-0.105,true
none,product page,5.420,0.671,true
none,order history,5.430,0.053,true
none,product page,5.440,0.992,true
none,product page,5.450,2.197,true
none,product page,5.460,1.191,true
none,order history,5.470,-0.179,true
none,product page,5.480,0.412,true
none,order history,5.490,1.113,true
none,product page,5.500,0.639,true
none,order history,5.510,0.257,true
none,product page,5.520,1.211,true
none,product page,5.530,0.301,true
none,product page,5.540,0.323,true
none,product page,5.550,0.735,true
none,product page,5.560,0.557,true
none,product page,5.570,0.989,true
none,product page,5.580,1.114,true
none,product page,5.590,1.232,true
none,product page,5.600,0.572,true
none,product page,5.610,0.469,true
none,product page,5.620,0.349,true
none,order history,5.630,0.282,true
none,product page,5.640,0.994,true
none,product page,5.650,1.083,true
none,order history,5.660,0.598,true
none,product page,5.670,0.471,true
none,product page,5.680,0.633,true
none,order history,5.690,-0.052,true
none,order history,5.700,0.250,true
none,order history,5.710,0.296,true
none,checkout,5.720,9.396,true
none,product page,5.730,0.904,true
none,product page,5.740,1.091,true
none,product page,5.750,0.391,true
none,order history,5.760,-0.103,true
none,product page,5.770,1.204,true
none,product page,5.780,0.686,true
none,product page,5.790,1.097,true
none,product page,5.800,0.979,true
none,checkout,5.810,9.786,true
none,product page,5.820,0.555,true
none,checkout,5.830,9.266,true
none,order history,5.840,0.077,true
none,product page,5.850,0.243,true
none,product page,5.860,0.815,true
none,product page,5.870,1.920,true
none,product page,5.880,1.065,true
none,checkout,5.890,8.453,true
none,product page,5.900,0.144,true
none,product page,5.910,0.775,true
none,product page,5.920,1.199,true
none,product page,5.930,0.948,true
none,product page,5.940,1.003,true
none,product page,5.950,2.083,true
none,product page,5.960,-0.779,true
none,checkout,5.970,9.485,true
none,product page,5.980,1.533,true
none,checkout,5.990,8.704,true
none,order history,6.000,0.596,true
none,order history,6.010,-0.363,true
none,product page,6.020,-0.371,true
none,product page,6.030,0.534,true
none,product page,6.040,0.831,true
none,product page,6.050,0.874,true
none,product page,6.060,0.937,true
none,order history,6.070,0.454,true
none,checkout,6.080,10.494,true
none,product page,6.090,0.284,true
none,product page,6.100,0.557,true
none,product page,6.110,0.538,true
none,product page,6.120,0.542,true
none,product page,6.130,1.989,true
none,product page,6.140,1.265,true
none,product page,6.150,1.334,true
none,order history,6.160,1.564,true
none,product page,6.170,0.568,true
none,product page,6.180,0.650,true
none,product page,6.190,0.694,true
none,order history,6.200,1.251,true
none,product page,6.210,1.163,true
none,order history,6.220,0.444,true
none,product page,6.230,2.380,true
none,product page,6.240,-0.799,true
none,product page,6.250,0.257,true
none,checkout,6.260,8.781,true
none,checkout,6.270,10.296,true
none,product page,6.280,0.879,true
none,product page,6.290,1.360,true
none,product page,6.300,0.389,true
none,product page,6.310,0.508,true
none,product page,6.320,0.564,true
none,order history,6.330,1.236,true
none,product page,6.340,0.782,true
none,product page,6.350,0.498,true
none,order history,6.360,0.512,true
none,checkout,6.370,10.207,true
none,product page,6.380,0.192,true
none,product page,6.390,0.708,true
none,order history,6.400,0.195,true
none,order history,6.410,0.119,true
none,product page,6.420,1.927,true
none,product page,6.430,1.013,true
none,order history,6.440,0.472,true
