scenario,operation,second,latency_ms,ok
none,product page,5.000,0.886,true
none,product page,5.010,0.810,true
none,product page,5.020,0.613,true
none,product page,5.030,1.163,true
none,product page,5.040,0.178,true
none,product page,5.050,0.459,true
none,product page,5.060,0.485,true
none,product page,5.070,0.976,true
none,order history,5.080,0.257,true
none,order history,5.090,0.266,true
none,product page,5.100,0.835,true
none,product page,5.110,1.000,true
none,product page,5.120,0.878,true
none,product page,5.130,-0.066,true
none,product page,5.140,-0.136,true
none,order history,5.150,-0.446,true
none,product page,5.160,0.018,true
none,product page,5.170,0.216,true
none,product page,5.180,0.721,true
none,product page,5.190,0.747,true
none,order history,5.200,0.263,true
none,product page,5.210,1.008,true
none,checkout,5.220,9.146,true
none,product page,5.230,0.124,true
none,product page,5.240,-0.048,true
none,order history,5.250,-0.224,true
none,order history,5.260,-0.238,true
none,product page,5.270,0.849,true
none,order history,5.280,0.167,true
none,product page,5.290,0.821,true
none,product page,5.300,0.361,true
none,product page,5.310,0.435,true
none,product page,5.320,0.694,true
none,checkout,5.330,9.260,true
none,product page,5.340,-0.213,true
none,product page,5.350,0.225,true
none,checkout,5.360,8.803,true
none,product page,5.370,0.317,true
none,order history,5.380,-0.037,true
none,product page,5.390,1.038,true
none,product page,5.400,1.845,true
none,order history,5.410,0.263,true
none,product page,5.420,0.999,true
none,product page,5.430,1.078,true
none,product page,5.440,0.206,true
none,product page,5.450,0.431,true
none,product page,5.460,0.295,true
none,product page,5.470,0.275,true
none,order history,5.480,0.118,true
none,product page,5.490,0.797,true
none,product page,5.500,0.769,true
none,product page,5.510,0.652,true
none,product page,5.520,0.952,true
none,product page,5.530,2.130,true
none,order history,5.540,-0.358,true
none,product page,5.550,0.335,true
none,product page,5.560,0.391,true
none,order history,5.570,-0.238,true
none,product page,5.580,0.481,true
none,product page,5.590,0.556,true
none,product page,5.600,0.496,true
none,product page,5.610,0.793,true
none,checkout,5.620,10.647,true
none,product page,5.630,1.418,true
none,product page,5.640,0.378,true
none,product page,5.650,0.433,true
none,product page,5.660,0.484,true
none,order history,5.670,2.372,true
none,order history,5.680,0.143,true
none,product page,5.690,0.406,true
none,product page,5.700,0.841,true
none,product page,5.710,0.508,true
none,order history,5.720,0.568,true
none,order history,5.730,0.338,true
none,checkout,5.740,8.340,true
none,product page,5.750,0.069,true
none,product page,5.760,0.588,true
none,checkout,5.770,9.320,true
none,product page,5.780,0.261,true
none,order history,5.790,0.282,true
none,checkout,5.800,9.757,true
none,product page,5.810,1.657,true
none,product page,5.820,1.011,true
none,order history,5.830,-0.217,true
none,product page,5.840,-0.149,true
none,checkout,5.850,9.537,true
none,product page,5.860,0.589,true
none,order history,5.870,0.073,true
none,product page,5.880,1.120,true
none,order history,5.890,0.380,true
none,product page,5.900,1.043,true
none,product page,5.910,0.754,true
none,product page,5.920,1.167,true
none,order history,5.930,-0.220,true
none,checkout,5.940,8.229,true
none,product page,5.950,-0.115,true
none,order history,5.960,-0.174,true
none,product page,5.970,0.599,true
none,order history,5.980,-0.075,true
none,product page,5.990,0.803,true
none,product page,6.000,1.939,true
none,product page,6.010,0.801,true
none,product page,6.020,-0.116,true
none,product page,6.030,0.327,true
none,product page,6.040,1.509,true
none,product page,6.050,0.393,true
none,product page,6.060,6.534,true
none,product page,6.070,0.520,true
none,product page,6.080,1.230,true
none,product page,6.090,0.858,true
none,checkout,6.100,10.995,true
none,product page,6.110,0.982,true
none,product page,6.120,0.608,true
none,order history,6.130,-0.101,true
none,checkout,6.140,9.252,true
none,order history,6.150,-0.021,true
none,checkout,6.160,8.337,true
none,order history,6.170,0.117,true
none,product page,6.180,0.708,true
none,order history,6.190,0.337,true
none,product page,6.200,2.135,true
none,product page,6.210,0.336,true
none,order history,6.220,-0.250,true
none,product page,6.230,1.251,true
none,order history,6.240,0.108,true
